step,beta,gamma,rho,distance,accepted_move,chain_id,epsilon_quantile,proposal_factor
1000,0.17956853581157461,0.11103585151355692,0.3357792571254277,0.7509878087806238,0,0,0.9,0.8
1005,0.16265513202076784,0.08774806988010382,0.23098879251111332,0.8641304103139916,0,0,0.9,0.8
1010,0.1682843475197722,0.07987927602850418,0.22912668992761953,0.9229533865475948,1,0,0.9,0.8
1015,0.13405917814742793,0.08441682303620596,0.19874780219033172,0.8988166730533645,0,0,0.9,0.8
1020,0.1481505322214217,0.07727237655787006,0.2658076773065258,0.4150167919324018,0,0,0.9,0.8
1025,0.1477944871124962,0.0891414859812878,0.33047050041620524,0.6172316761910411,0,0,0.9,0.8
1030,0.1270653325319385,0.06655594317200125,0.22678101548371557,0.8824941871154736,1,0,0.9,0.8
1035,0.1369003164834349,0.08273045282659079,0.26305614921469045,0.40795601589281355,1,0,0.9,0.8
1040,0.16399428702412902,0.0869217558116017,0.2507092955328778,0.7182198658408744,0,0,0.9,0.8
1045,0.18655627807711192,0.09635113446508167,0.3963350823074887,0.7891799047539964,0,0,0.9,0.8
1050,0.19862757363065803,0.10009686514813976,0.36142006810254945,0.7953928742003377,0,0,0.9,0.8
1055,0.1913941494362229,0.093939684015229,0.3299561428248452,0.7970560682097574,0,0,0.9,0.8
1060,0.19164991605930418,0.085108584672635,0.28424835145248134,0.8595596479913495,1,0,0.9,0.8
1065,0.18457903315241747,0.07210105541257703,0.36616305889287654,0.7741142890249356,0,0,0.9,0.8
1070,0.18488599097820435,0.10712245629217407,0.31613631151888505,0.8969405297905556,1,0,0.9,0.8
1075,0.15826611338940105,0.10443984529523855,0.3525484089999936,0.8752456233382416,0,0,0.9,0.8
1080,0.15826611338940105,0.10443984529523855,0.3525484089999936,0.8752456233382416,0,0,0.9,0.8
1085,0.1946831397463067,0.11657763989242988,0.35059476725142336,0.8629636986351915,0,0,0.9,0.8
1090,0.16692249165462286,0.09228719038919322,0.3373823297894715,0.352996640947195,1,0,0.9,0.8
1095,0.1670643821469597,0.09546842386846224,0.2968410584426219,0.5573822292866795,1,0,0.9,0.8
1100,0.17082465210302425,0.10564487222185705,0.3731716651634263,0.8364822672367156,0,0,0.9,0.8
1105,0.1740386379972522,0.11434278227070432,0.31649152662093355,0.8406076372338321,0,0,0.9,0.8
1110,0.14797481219873698,0.10234697069068631,0.239303588656443,0.8778453683934867,0,0,0.9,0.8
1115,0.1766721054159664,0.09120442241707541,0.2552386752226969,0.8919817348095435,1,0,0.9,0.8
1120,0.1574083475080528,0.09708947301836889,0.3040625801278886,0.5288101638101146,0,0,0.9,0.8
1125,0.21648648478895444,0.09831813048331844,0.3742135755176898,0.9506768660690048,1,0,0.9,0.8
1130,0.18759710338790342,0.08401870191609283,0.33016172416676515,0.6005466031901932,0,0,0.9,0.8
1135,0.15878473185783784,0.09603161662162492,0.31263915967971484,0.40787371329302696,1,0,0.9,0.8
1140,0.15793056692286772,0.10679523874017777,0.2882092896122596,0.6861715177045649,0,0,0.9,0.8
1145,0.15793056692286772,0.10679523874017777,0.2882092896122596,0.6861715177045649,0,0,0.9,0.8
1150,0.15976970781508928,0.06272997295906149,0.34474197837097065,0.906067674675463,1,0,0.9,0.8
1155,0.1672215690859634,0.06357087816113585,0.3506314593120782,0.7499568511807353,1,0,0.9,0.8
1160,0.14853509252328564,0.08542235111674888,0.20582959765844708,0.9361251699276742,0,0,0.9,0.8
1165,0.17452529085117469,0.0929897649840012,0.2526357040347582,0.8905635126384303,0,0,0.9,0.8
1170,0.14465078785303523,0.07757198803685028,0.30200453962137336,0.43961947076008895,0,0,0.9,0.8
1175,0.19693578709086726,0.07245834737172294,0.3674154467627472,0.8605425393089354,1,0,0.9,0.8
1180,0.19693578709086726,0.07245834737172294,0.3674154467627472,0.8605425393089354,0,0,0.9,0.8
1185,0.2026282546575522,0.10536689165986617,0.3132182450309519,0.9570856411849109,1,0,0.9,0.8
1190,0.16187491257007405,0.09045683217220411,0.3538120070783081,0.6030024729899135,1,0,0.9,0.8
1195,0.18513822074806646,0.09710948302908798,0.3409647710167825,0.6382997831722609,0,0,0.9,0.8
1200,0.17706318849853378,0.07637929106162497,0.3285853730760675,0.46265434098029,1,0,0.9,0.8
1205,0.14826257823489283,0.0671329859738753,0.2249394373990532,0.8180221990788923,0,0,0.9,0.8
1210,0.1365642332216715,0.07715348479534644,0.2816467045610152,0.7184519897293047,0,0,0.9,0.8
1215,0.1334560668474217,0.09410873462581151,0.25759050369422865,0.857330017939837,1,0,0.9,0.8
1220,0.16392987011674579,0.09176667882295879,0.22604968129785585,0.9562875945627701,0,0,0.9,0.8
1225,0.17424434884264364,0.10625838323169039,0.27155508094972747,0.9062005251355086,1,0,0.9,0.8
1230,0.16091925791568587,0.1072393013202954,0.3165409991667178,0.7117205915825016,1,0,0.9,0.8
1235,0.16351588016538735,0.07926242722814442,0.2404859163162056,0.8456224492906016,0,0,0.9,0.8
1240,0.16053208694970808,0.10513531994135782,0.301941070424505,0.6669242831248378,1,0,0.9,0.8
1245,0.1649032662733942,0.11423049386347019,0.2829133318388367,0.8266214321750049,0,0,0.9,0.8
1250,0.13952017217524088,0.10262980667562964,0.300431756386401,0.7630017103762072,1,0,0.9,0.8
1255,0.14883721028511343,0.08805967053198722,0.23324332325189448,0.6439071598719559,1,0,0.9,0.8
1260,0.1538814026534723,0.07041399283133641,0.21578400681516371,0.9101844155659881,0,0,0.9,0.8
1265,0.16208691730086608,0.10463335625715672,0.31211876903615277,0.5783658098329217,0,0,0.9,0.8
1270,0.17000946955325802,0.0795471019613617,0.3186993770392957,0.3592198456522805,1,0,0.9,0.8
1275,0.1748819892591359,0.07425675406125049,0.35494962885431347,0.5087564767377418,0,0,0.9,0.8
1280,0.17860773191341534,0.07852162736936143,0.3699993579928249,0.5693486959695153,1,0,0.9,0.8
1285,0.1423026235488664,0.09135644903831816,0.28354085232503795,0.6023536195666392,0,0,0.9,0.8
1290,0.14720441042167334,0.09405804298231066,0.2535724562635643,0.5843049557011694,1,0,0.9,0.8
1295,0.1625752487810312,0.09019099232887487,0.262380234175159,0.6872449240343198,1,0,0.9,0.8
1300,0.1678591176809422,0.08760092590284989,0.27540254777652445,0.5119682091932489,1,0,0.9,0.8
1305,0.1745984087290347,0.08776782689331696,0.36060463151057165,0.4431502850644131,1,0,0.9,0.8
1310,0.1418312647773068,0.07346855931205178,0.25871360480035316,0.3892201710251446,0,0,0.9,0.8
1315,0.16759687366383708,0.07390752968366227,0.28332379302014754,0.6415002329000307,1,0,0.9,0.8
1320,0.15283136850615264,0.10747223142676035,0.3411794028683393,0.9058941968945581,1,0,0.9,0.8
1325,0.17961454418610798,0.10054362985379528,0.2927654540636514,0.8133190879605494,1,0,0.9,0.8
1330,0.1826299098459631,0.09672618708861574,0.352785171411673,0.5234577677928555,1,0,0.9,0.8
1335,0.17671362437460086,0.12511127997901483,0.3338973069744704,0.9327656269539419,0,0,0.9,0.8
1340,0.17671362437460086,0.12511127997901483,0.3338973069744704,0.9327656269539419,0,0,0.9,0.8
1345,0.14881093216055485,0.10281874099507704,0.3125337066144859,0.7558776580886001,1,0,0.9,0.8
1350,0.15464572328481205,0.10840811229706154,0.3205506386106559,0.7415763381288091,0,0,0.9,0.8
1355,0.1540963319551817,0.09991975373438501,0.2880459766586354,0.541248248506094,1,0,0.9,0.8
1360,0.15849021002133823,0.11573051393719119,0.3222785394589992,0.9012172669314679,0,0,0.9,0.8
1365,0.169232735257848,0.11674410269011698,0.2805007857386022,0.8739494977671008,0,0,0.9,0.8
1370,0.1878586534045081,0.09206840383833816,0.33929572632520527,0.721016552312236,0,0,0.9,0.8
1375,0.18609067661851855,0.07154591945380606,0.2702616009857393,0.9340237228293391,0,0,0.9,0.8
1380,0.15700180180448176,0.06379154978135988,0.29826434956572884,0.6946156920625263,1,0,0.9,0.8
1385,0.17744596126688963,0.07236994946720324,0.3441861280851094,0.5546616320749315,1,0,0.9,0.8
1390,0.14896230159620236,0.08420864728781641,0.33918186727315974,0.7555027520105071,0,0,0.9,0.8
1395,0.14781052830801455,0.0708720700616976,0.28971813001207897,0.4173080139015571,0,0,0.9,0.8
1400,0.15866755075174382,0.09268748446275495,0.2836067450643384,0.40890753112035355,0,0,0.9,0.8
1405,0.14355617250798738,0.09631829242874497,0.3085419469430545,0.8225097097654155,0,0,0.9,0.8
1410,0.17133764861648,0.07528286192532281,0.3612011905297768,0.5643728968000619,1,0,0.9,0.8
1415,0.17515530108894084,0.10576827632375801,0.3506570993229392,0.5972676929781937,0,0,0.9,0.8
1420,0.15643447106076816,0.06480546672551245,0.25082549991521547,0.8591780144346951,1,0,0.9,0.8
1425,0.16908938926043732,0.06925415496257378,0.27949497427166287,0.6570144759055332,0,0,0.9,0.8
1430,0.20364500213574746,0.0934686814153728,0.38911182973749103,0.7838568258281494,1,0,0.9,0.8
1435,0.18448703426071839,0.10011340320637847,0.41250413904490135,0.8726041807456978,0,0,0.9,0.8
1440,0.18448703426071839,0.10011340320637847,0.41250413904490135,0.8726041807456978,0,0,0.9,0.8
1445,0.20020386426294248,0.07690047776429454,0.39094414337972777,0.7935325034778374,0,0,0.9,0.8
1450,0.19032076003922022,0.08276711242121781,0.42750006433123333,0.905723865550372,1,0,0.9,0.8
1455,0.19641289061903117,0.10292185931727242,0.34860022023175674,0.733112645779903,1,0,0.9,0.8
1460,0.19597205997306663,0.08484079518392063,0.3752710022995191,0.845937165929884,0,0,0.9,0.8
1465,0.14218397266337154,0.07050380272486202,0.31545222027258,0.6839811760791005,1,0,0.9,0.8
1470,0.14112966719697936,0.0887270495458691,0.23946331110355182,0.6389480080169301,0,0,0.9,0.8
1475,0.14299164641729603,0.10950272279580281,0.2704169702905916,0.8461581588285936,1,0,0.9,0.8
1480,0.15279414714722195,0.10945431252916074,0.28802127170362674,0.8255345932543736,0,0,0.9,0.8
1485,0.15279414714722195,0.10945431252916074,0.28802127170362674,0.8255345932543736,0,0,0.9,0.8
1490,0.17018064801079172,0.10236734245416637,0.37403407553095647,0.70581263167373,1,0,0.9,0.8
1495,0.1819333859376781,0.11894821970974427,0.3454502108314598,0.8534993111348222,0,0,0.9,0.8
