epsilon_quantile,proposal_factor,chain_id,acceptance_rate,retained_samples,beta_mean,gamma_mean,rho_mean,beta_std,gamma_std,rho_std
0.75,0.8,0,0.4514,800,0.1645020041212902,0.08783479966885294,0.30909013979781347,0.019898711238270722,0.013698365000993544,0.05136920852843864
0.75,0.8,1,0.4542,800,0.16742550258271607,0.08598075943649972,0.3168616117232158,0.020050985665696498,0.014069307777179482,0.05186240629181039
0.75,0.8,2,0.4422,800,0.1664192141288838,0.08775167908227056,0.3168305789987068,0.020273715998392085,0.014029897375482894,0.051539327569214574
0.75,0.8,3,0.4318,800,0.16944764403466217,0.08778503360896056,0.32303802711149543,0.020526118398968347,0.013889071853856839,0.05197206268404796
0.75,0.9,0,0.4004,800,0.16505256215294556,0.08725268583322691,0.3137382028711359,0.02042622073946421,0.013994801223704646,0.0521519576030895
0.75,0.9,1,0.3836,800,0.1669651535751785,0.08643792892486747,0.3185153800828444,0.020277901843467547,0.014058699192756778,0.051538876586368805
0.75,0.9,2,0.3906,800,0.16766122013256834,0.08772673560075109,0.3201459029796625,0.019585083231731016,0.01458604256059521,0.04908987657153336
0.75,0.9,3,0.387,800,0.16509658760171825,0.0870754182799366,0.30979722204557836,0.02028214684680178,0.014386895283507997,0.05147534164741883
0.9,0.8,0,0.4788,800,0.16530455978961367,0.08903926978835522,0.30965703082527724,0.02050758486846691,0.015736191885527544,0.053809849205502344
0.9,0.8,1,0.486,800,0.1681535962523929,0.0868466648150084,0.3183032982814724,0.02006221823256438,0.014424675483829578,0.05430443234298971
0.9,0.8,2,0.4578,800,0.16750181242974843,0.08795628763966161,0.31793774900473415,0.021851830488965794,0.015866807271143746,0.05598857094541297
0.9,0.8,3,0.4672,800,0.16979343449691187,0.08967060680599877,0.32329513649148006,0.022078461666780482,0.015370392202767758,0.05522526120112083
0.9,0.9,0,0.4234,800,0.16687572340960316,0.088687851737735,0.31835339849694955,0.02129245120896811,0.015635917377146712,0.055561758583370514
0.9,0.9,1,0.4274,800,0.1670653869696652,0.08825762105143704,0.31804840012999824,0.022032701012596873,0.014422771410361942,0.055752194312307816
0.9,0.9,2,0.4232,800,0.17016412411940762,0.08846532264355687,0.3243226593256944,0.021885540588526105,0.014858474628626698,0.05409562875010791
0.9,0.9,3,0.4176,800,0.16785046056965505,0.08738139504129329,0.31665043770178525,0.022410209285059768,0.01501713002471475,0.05438500177045585
