beta,gamma,rho,distance,infected_peak,infected_time_of_peak,infected_auc,infected_extinction_time,rewiring_peak,rewiring_time_of_peak,rewiring_auc,rewiring_zero_fraction
0.1614335557619897,0.0823003642189166,0.3090651323384599,0.1101911989518128,0.65825,8.6,10.979,76.675,100.85,5.425,543.85,0.9386815920398012
0.1523366960765673,0.0769062113321129,0.299639320937653,0.1111835948510768,0.668875,8.775,12.033499999999998,77.0,98.1,5.425,546.825,0.9360696517412934
0.1607777176903294,0.0780051707560108,0.3054065768050684,0.1203261679056253,0.6765000000000001,8.75,11.498874999999998,74.55,101.9,5.475,537.2,0.93818407960199
0.1593010590682107,0.0798033136225788,0.3077567221575699,0.1222194210570909,0.663,8.5,11.567125,73.8,102.175,5.45,541.85,0.9384328358208954
0.1603455761665031,0.0797826829943907,0.3105410679069165,0.1274261268033273,0.6703749999999999,8.75,11.749249999999998,75.95,102.9,5.55,542.775,0.9353233830845772
0.1664551072784001,0.0808356189816566,0.306661642188149,0.1279848331629202,0.666875,8.525,11.305624999999996,72.575,100.65,5.45,527.775,0.9370646766169154
0.1591705555029655,0.0861952705145384,0.3093488178651136,0.1292420878099027,0.650375,8.8,10.65125,72.9,102.1,5.425,548.425,0.9374378109452736
0.156908314271039,0.0826627806762862,0.3127766415344942,0.1298850760795859,0.64825,8.925,10.97225,74.95,98.075,5.725,555.0,0.9371890547263682
0.1583848906671418,0.0800978200035813,0.3051817979610117,0.1361413008506049,0.67875,8.65,11.45175,74.05,100.125,5.4,538.025,0.9393034825870646
0.156315784373626,0.0805731436478788,0.3070455204472317,0.1406066011122498,0.66525,8.575,11.27225,71.35,101.025,5.375,532.025,0.9375621890547264
0.1579096126643461,0.0834275271299222,0.3048749112962663,0.1412853152696505,0.65625,8.6,11.056625,78.15,101.25,5.5,531.325,0.9390547263681592
0.1565471919656964,0.081529395229145,0.2905317911557481,0.143761782904207,0.666375,8.675,11.288125,72.2,96.775,5.525,516.2,0.9378109452736318
0.1504222741803066,0.0780749051488792,0.3004999258130019,0.1441508693784699,0.661,9.15,11.860125,77.075,97.6,5.425,548.85,0.9371890547263682
